Entity,Management 1,Management 2,Management 3,Management 4,Management 5,Date,Amount
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,6/1/21,-2325620
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,6/1/21,-1033610
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,6/1/21,-516800
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,6/1/21,-775210
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,6/1/21,-310080
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,6/1/21,-206720
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,6/1/21,686130
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,6/1/21,2495680
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,6/1/21,1697340
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,6/1/21,535770
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,6/1/21,2909970
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,6/1/21,-187930
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,6/1/21,-93960
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,6/1/21,-187930
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,6/1/21,-93960
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,6/1/21,-939640
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,6/1/21,-187930
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,6/1/21,-187930
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,7/1/21,-2323970
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,7/1/21,-1032870
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,7/1/21,-516440
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,7/1/21,-774660
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,7/1/21,-309860
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,7/1/21,-206570
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,7/1/21,692890
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,7/1/21,2617410
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,7/1/21,1660760
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,7/1/21,456063
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,7/1/21,3050520
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,7/1/21,-187800
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,7/1/21,-93900
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,7/1/21,-187800
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,7/1/21,-93900
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,7/1/21,-938980
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,7/1/21,-187800
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,7/1/21,-187800
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,8/1/21,-2296460
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,8/1/21,-1020650
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,8/1/21,-510320
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,8/1/21,-765490
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,8/1/21,-306190
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,8/1/21,-204130
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,8/1/21,657040
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,8/1/21,2600990
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,8/1/21,1708310
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,8/1/21,465967
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,8/1/21,2914380
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,8/1/21,-185570
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,8/1/21,-92790
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,8/1/21,-185570
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,8/1/21,-92790
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,8/1/21,-927860
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,8/1/21,-185570
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,8/1/21,-185570
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,9/1/21,-2352210
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,9/1/21,-1045430
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,9/1/21,-522710
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,9/1/21,-784070
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,9/1/21,-313630
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,9/1/21,-209090
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,9/1/21,652520
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,9/1/21,2600430
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,9/1/21,1701810
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,9/1/21,499943
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,9/1/21,3049290
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,9/1/21,-190080
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,9/1/21,-95040
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,9/1/21,-190080
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,9/1/21,-95040
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,9/1/21,-950390
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,9/1/21,-190080
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,9/1/21,-190080
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,10/1/21,-2441620
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,10/1/21,-1085160
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,10/1/21,-542580
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,10/1/21,-813870
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,10/1/21,-325550
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,10/1/21,-217030
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,10/1/21,666970
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,10/1/21,2676530
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,10/1/21,1641120
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,10/1/21,661603
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,10/1/21,2895690
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,10/1/21,-197300
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,10/1/21,-98650
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,10/1/21,-197300
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,10/1/21,-98650
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,10/1/21,-986510
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,10/1/21,-197300
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,10/1/21,-197300
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,11/1/21,-2638850
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,11/1/21,-1172820
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,11/1/21,-586410
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,11/1/21,-879620
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,11/1/21,-351850
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,11/1/21,-234560
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,11/1/21,706670
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,11/1/21,2677420
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,11/1/21,1611370
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,11/1/21,847997
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,11/1/21,3122570
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,11/1/21,-213240
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,11/1/21,-106620
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,11/1/21,-213240
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,11/1/21,-106620
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,11/1/21,-1066200
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,11/1/21,-213240
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,11/1/21,-213240
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,12/1/21,-2746710
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,12/1/21,-1220760
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,12/1/21,-610380
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,12/1/21,-915570
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,12/1/21,-366230
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,12/1/21,-244150
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,12/1/21,680350
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,12/1/21,2546870
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,12/1/21,1617980
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,12/1/21,1088637
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,12/1/21,2986730
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,12/1/21,-221960
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,12/1/21,-110980
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,12/1/21,-221960
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,12/1/21,-110980
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,12/1/21,-1109780
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,12/1/21,-221960
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,12/1/21,-221960
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,1/1/22,-2373770
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,1/1/22,-1055010
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,1/1/22,-527500
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,1/1/22,-791260
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,1/1/22,-316500
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,1/1/22,-211000
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,1/1/22,736250
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,1/1/22,2930770
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,1/1/22,1739580
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,1/1/22,314873
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,1/1/22,3327750
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,1/1/22,-188740
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,1/1/22,-94370
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,1/1/22,-188740
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,1/1/22,-94370
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,1/1/22,-943700
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,1/1/22,-188740
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,1/1/22,-188740
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,2/1/22,-2409300
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,2/1/22,-1070800
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,2/1/22,-535400
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,2/1/22,-803100
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,2/1/22,-321240
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,2/1/22,-214160
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,2/1/22,731130
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,2/1/22,3010250
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,2/1/22,1829710
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,2/1/22,353813
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,2/1/22,3191300
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,2/1/22,-191560
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,2/1/22,-95780
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,2/1/22,-191560
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,2/1/22,-95780
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,2/1/22,-957820
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,2/1/22,-191560
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,2/1/22,-191560
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,3/1/22,-2436190
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,3/1/22,-1082750
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,3/1/22,-541380
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,3/1/22,-812060
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,3/1/22,-324830
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,3/1/22,-216550
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,3/1/22,747830
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,3/1/22,2884820
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,3/1/22,1894470
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,3/1/22,370267
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,3/1/22,3295600
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,3/1/22,-193700
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,3/1/22,-96850
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,3/1/22,-193700
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,3/1/22,-96850
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,3/1/22,-968520
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,3/1/22,-193700
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,3/1/22,-193700
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,4/1/22,-2475760
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,4/1/22,-1100340
